************************* Validation, time 15.78 *************************
loss 7.3029 0.2240 7.0789, ade1 14.1176, fde1 26.7050, ade 13.7354, fde 25.8405

************************* Validation, time 12.30 *************************
loss 6.7323 0.1862 6.5461, ade1 13.6594, fde1 26.7734, ade 12.7659, fde 24.5699

************************* Validation, time 12.15 *************************
loss 6.4010 0.2199 6.1812, ade1 13.7262, fde1 26.3986, ade 12.8193, fde 23.8199

************************* Validation, time 11.90 *************************
loss 6.0803 0.2223 5.8581, ade1 13.5204, fde1 26.1248, ade 12.2908, fde 22.6777

************************* Validation, time 12.07 *************************
loss 5.8756 0.1981 5.6774, ade1 13.5625, fde1 25.8307, ade 11.6289, fde 21.3056

************************* Validation, time 12.00 *************************
loss 5.4222 0.1925 5.2297, ade1 13.8288, fde1 26.3041, ade 11.0328, fde 19.7940

************************* Validation, time 11.96 *************************
loss 5.2824 0.1822 5.1002, ade1 14.1266, fde1 26.5606, ade 10.1497, fde 17.7547

************************* Validation, time 12.06 *************************
loss 4.8789 0.1782 4.7007, ade1 13.9083, fde1 25.6760, ade 8.7751, fde 14.3474

************************* Validation, time 12.33 *************************
loss 4.1956 0.1741 4.0215, ade1 13.7517, fde1 23.8589, ade 7.8762, fde 12.2493

************************* Validation, time 11.81 *************************
loss 4.1576 0.1906 3.9670, ade1 12.8534, fde1 21.8604, ade 6.9393, fde 10.3756

************************* Validation, time 11.73 *************************
loss 3.6178 0.1932 3.4247, ade1 9.1378, fde1 15.2719, ade 6.2232, fde 9.0691

************************* Validation, time 11.53 *************************
loss 3.5422 0.2237 3.3185, ade1 12.6315, fde1 23.6541, ade 5.4415, fde 7.9405

************************* Validation, time 11.90 *************************
loss 2.8903 0.2065 2.6837, ade1 12.1636, fde1 22.5949, ade 4.8615, fde 7.3069

************************* Validation, time 11.54 *************************
loss 2.8423 0.1493 2.6931, ade1 11.8001, fde1 22.7888, ade 4.4368, fde 6.9857

************************* Validation, time 12.00 *************************
loss 2.7230 0.2092 2.5138, ade1 11.7348, fde1 22.7045, ade 4.2717, fde 6.7113

************************* Validation, time 11.37 *************************
loss 2.5916 0.2388 2.3528, ade1 10.9672, fde1 20.6631, ade 3.9570, fde 6.2094

************************* Validation, time 12.12 *************************
loss 2.3538 0.1600 2.1938, ade1 8.4270, fde1 14.6179, ade 3.4733, fde 5.6199

************************* Validation, time 11.93 *************************
loss 2.2765 0.1797 2.0968, ade1 7.6788, fde1 13.4964, ade 3.4147, fde 5.7260

************************* Validation, time 11.60 *************************
loss 2.0544 0.1905 1.8638, ade1 7.2166, fde1 12.8148, ade 3.0461, fde 5.3689

************************* Validation, time 11.58 *************************
loss 1.8749 0.1744 1.7005, ade1 6.5648, fde1 11.9715, ade 2.8250, fde 5.0198

************************* Validation, time 12.23 *************************
loss 1.8802 0.2262 1.6540, ade1 6.0431, fde1 11.5202, ade 2.7759, fde 5.3241

************************* Validation, time 11.91 *************************
loss 1.9359 0.1876 1.7483, ade1 5.9193, fde1 11.4181, ade 2.8007, fde 5.4133

************************* Validation, time 11.78 *************************
loss 1.8934 0.1884 1.7050, ade1 5.2270, fde1 10.4476, ade 2.6779, fde 5.1459

************************* Validation, time 11.80 *************************
loss 1.7007 0.2290 1.4717, ade1 6.4926, fde1 12.8654, ade 2.5451, fde 4.9779

************************* Validation, time 11.34 *************************
loss 1.6500 0.1767 1.4733, ade1 5.0283, fde1 10.6188, ade 2.5330, fde 4.9420

************************* Validation, time 11.29 *************************
loss 1.7464 0.2043 1.5421, ade1 4.9564, fde1 10.7470, ade 2.4076, fde 4.9549

************************* Validation, time 10.32 *************************
loss 1.6374 0.1614 1.4760, ade1 4.6813, fde1 10.3883, ade 2.3279, fde 4.5962

************************* Validation, time 11.82 *************************
loss 1.6005 0.1777 1.4228, ade1 4.7815, fde1 10.5137, ade 2.3987, fde 4.8855

************************* Validation, time 11.81 *************************
loss 1.6176 0.1952 1.4224, ade1 4.7076, fde1 10.4447, ade 2.3709, fde 4.8949

************************* Validation, time 11.57 *************************
loss 1.6422 0.2060 1.4362, ade1 4.0819, fde1 9.2597, ade 2.4583, fde 5.0714

************************* Validation, time 11.49 *************************
loss 1.6176 0.1778 1.4397, ade1 3.8661, fde1 8.7101, ade 2.2528, fde 4.6320

************************* Validation, time 12.23 *************************
loss 1.5034 0.1929 1.3105, ade1 3.5899, fde1 7.9039, ade 2.3214, fde 4.6139

************************* Validation, time 12.21 *************************
loss 1.5314 0.1980 1.3334, ade1 3.4614, fde1 7.6047, ade 2.2586, fde 4.6243

************************* Validation, time 11.99 *************************
loss 1.4322 0.1804 1.2518, ade1 3.1921, fde1 7.2880, ade 2.2146, fde 4.5998

************************* Validation, time 11.72 *************************
loss 1.4535 0.2196 1.2339, ade1 3.0648, fde1 6.8369, ade 2.1509, fde 4.4128

************************* Validation, time 11.28 *************************
loss 1.4412 0.2045 1.2368, ade1 3.3063, fde1 7.5935, ade 2.1979, fde 4.5143
